id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,position,team_name,base_xP,team,next_3_fdr,AI_xP
110,Rushworth,4.5,5,1.2,360,0.0,0.02,0.02,GK,Coventry City,12.462166666666668,7,2.3333333333333335,16.022785714285714
171,Dovin,4.0,0,0.0,0,0.0,0.0,0.0,GK,Coventry City,0.0,7,2.3333333333333335,0.0
172,Wilson,4.5,0,0.0,0,0.0,0.0,0.0,GK,Coventry City,0.0,7,2.3333333333333335,0.0
173,Thomas,4.0,15,3.8,347,0.43,0.26,0.69,DEF,Coventry City,14.35,7,2.3333333333333335,18.45
174,Kitching,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
175,van Ewijk,4.0,6,1.5,360,0.0,0.3,0.3,DEF,Coventry City,6.83,7,2.3333333333333335,8.78142857142857
176,Dasilva,4.0,5,1.2,354,0.18,0.48,0.66,DEF,Coventry City,7.9,7,2.3333333333333335,10.157142857142857
177,Kesler-Hayden,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
178,Bidwell,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
179,Latibeaudiere,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
180,Woolfenden,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
181,Brau,4.0,0,0.0,0,0.0,0.0,0.0,DEF,Coventry City,0.0,7,2.3333333333333335,0.0
182,Amenda,4.0,4,1.0,360,0.02,0.39,0.41,DEF,Coventry City,8.01,7,2.3333333333333335,10.298571428571428
183,Rudoni,5.0,8,2.0,224,0.83,0.91,1.74,MID,Coventry City,10.65,7,2.3333333333333335,13.692857142857141
184,Grimes,4.9,8,2.0,353,0.1,0.07,0.17,MID,Coventry City,9.32,7,2.3333333333333335,11.982857142857142
185,Sakamoto,4.9,1,0.2,31,0.02,0.02,0.04,MID,Coventry City,1.49,7,2.3333333333333335,1.9157142857142855
186,Mason-Clark,5.4,4,1.0,186,0.49,0.07,0.56,MID,Coventry City,6.49,7,2.3333333333333335,8.344285714285714
187,Eccles,4.9,0,0.0,0,0.0,0.0,0.0,MID,Coventry City,0.0,7,2.3333333333333335,0.0
188,Torp,5.4,3,0.8,53,0.0,0.12,0.12,MID,Coventry City,2.87,7,2.3333333333333335,3.69
189,Shepherd,4.5,0,0.0,0,0.0,0.0,0.0,MID,Coventry City,0.0,7,2.3333333333333335,0.0
190,Tchaouna,5.4,4,1.0,166,0.19,0.18,0.37,MID,Coventry City,5.0,7,2.3333333333333335,6.428571428571428
191,Borges Rodrigues,4.5,0,0.0,0,0.0,0.0,0.0,MID,Coventry City,0.0,7,2.3333333333333335,0.0
192,Andrews,4.5,0,0.0,0,0.0,0.0,0.0,MID,Coventry City,0.0,7,2.3333333333333335,0.0
193,Wright,5.4,0,0.0,0,0.0,0.0,0.0,FWD,Coventry City,0.0,7,2.3333333333333335,0.0
194,Thomas-Asante,5.0,5,1.2,137,0.21,0.05,0.26,FWD,Coventry City,5.51,7,2.3333333333333335,7.084285714285714
195,Simms,5.0,3,0.8,88,0.3,0.01,0.31,FWD,Coventry City,3.82,7,2.3333333333333335,4.911428571428571
196,Markelo,5.0,0,0.0,0,0.0,0.0,0.0,FWD,Coventry City,0.0,7,2.3333333333333335,0.0
197,Bassette,4.5,0,0.0,0,0.0,0.0,0.0,FWD,Coventry City,0.0,7,2.3333333333333335,0.0
492,Awoniyi,5.5,3,0.8,232,1.3,0.04,1.34,FWD,Coventry City,15.53,7,2.3333333333333335,19.967142857142854
575,Yirenkyi,4.9,6,1.5,175,0.03,0.14,0.17,MID,Coventry City,6.47,7,2.3333333333333335,8.318571428571428
584,Hamer,5.4,3,0.8,32,0.0,0.02,0.02,MID,Coventry City,2.63,7,2.3333333333333335,3.381428571428571
599,Cherif,5.0,1,0.2,30,0.0,0.0,0.0,FWD,Coventry City,1.23,7,2.3333333333333335,1.5814285714285712
623,Bentley,4.0,0,0.0,0,0.0,0.0,0.0,GK,Coventry City,0.0,7,2.3333333333333335,0.0
